algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabicl,0.8885414989103776,0.8885414989103776,1.6025641025641026,26,1,39,0.47719983747811057,0.1274601079057902,860.4680072810152,607.8444872963009
tabpfn,0.8866267812226216,0.8866267812226216,1.8846153846153846,11,1,39,0.5457761239085812,0.4482454970711842,444.5940163106425,1014.2966601424268
catboost,0.8702731223253896,0.8713010088163603,3.3076923076923075,2,0,39,3.218363393971231,0.0035100360400974,59870.95844017876,8.773496190857228
lightgbm,0.8604280526710829,0.861311185408334,4.435897435897436,0,0,39,0.1575892970431596,0.0043188720010221,3475.098911319481,13.886585118787455
xgboost,0.8574266731083648,0.8584689737767903,4.846153846153846,0,0,39,0.1335951990913599,0.0033774271141737,7974.8942054314975,7.258678040307101
random_forest,0.858243598368788,0.8580527187625188,4.923076923076923,0,0,39,0.1504114218987524,0.0257962839677929,1150.95025492688,27.86415870855851
