algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabicl,0.9396270984992521,0.9396270984992521,1.5763888888888888,49,1,72,0.5356661179685034,0.2346961928997188,3098.3667966855573,7946.272720448353
tabpfn,0.9386532590669686,0.9386532590669686,1.8958333333333333,22,1,72,0.54728072299622,0.6753962649963796,819.1275483836944,2705.5175398718275
catboost,0.9285349242622805,0.9282825044179882,3.326388888888889,4,0,72,4.783620934991632,0.00430126048740925,198482.1484784529,16.307529724741414
lightgbm,0.9225541719240891,0.9221696727226971,4.416666666666667,0,0,72,0.22514807950938115,0.00562240046565415,10425.743744995096,43.675702869164475
xgboost,0.9211789226062482,0.9208580542252859,4.618055555555555,2,0,72,0.19103547048871405,0.00389028352219605,23858.277226652033,18.793445857299904
random_forest,0.9194663916401841,0.9185126819469076,5.166666666666667,0,0,72,0.1677276800037361,0.02589851943776005,2223.7346999198635,50.390549747084094
