run_id,dataset,dataset_id,algorithm,repeat,fold,n_train,n_test,n_features,n_categorical,n_classes,roc_auc,train_time_s,inference_time_s,warmup_s,device,preprocessing,raw_error,error,git_commit,hostname,timestamp
cc18_v2,pc1,1068,random_forest,0,0,887,222,21,0,2,0.7808373590982287,0.1500470379833132,0.025493426015600562,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:35+02:00
cc18_v2,pc1,1068,random_forest,0,1,887,222,21,0,2,0.8394524959742351,0.1472782150376588,0.02567839197581634,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:35+02:00
cc18_v2,pc1,1068,random_forest,0,2,887,222,21,0,2,0.905491504854369,0.14581884600920603,0.025515920016914606,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:36+02:00
cc18_v2,pc1,1068,random_forest,0,3,887,222,21,0,2,0.8455703883495145,0.14419696503318846,0.02532123902346939,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:36+02:00
cc18_v2,pc1,1068,random_forest,0,4,888,221,21,0,2,0.8705501618122977,0.1403991050319746,0.025658381986431777,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:36+02:00
cc18_v2,pc1,1068,random_forest,1,5,887,222,21,0,2,0.7586151368760065,0.1443301829858683,0.025439807039219886,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:36+02:00
cc18_v2,pc1,1068,random_forest,1,6,887,222,21,0,2,0.8185185185185184,0.13759061304153875,0.026059450989123434,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:36+02:00
cc18_v2,pc1,1068,random_forest,1,7,887,222,21,0,2,0.8719660194174758,0.142743234988302,0.026004198007285595,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,1,8,887,222,21,0,2,0.8945691747572815,0.14577511098468676,0.025254630018025637,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,1,9,888,221,21,0,2,0.8328478964401294,0.14615732099628076,0.025249792030081153,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,2,10,887,222,21,0,2,0.8732689210950081,0.14199089200701565,0.025694897049106658,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,2,11,887,222,21,0,2,0.7995169082125604,0.14565226703416556,0.025090454961173236,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,2,12,887,222,21,0,2,0.8216019417475728,0.14391360204899684,0.025530210987199098,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:37+02:00
cc18_v2,pc1,1068,random_forest,2,13,887,222,21,0,2,0.9018507281553397,0.13985808799043298,0.025505023018922657,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:38+02:00
cc18_v2,pc1,1068,random_forest,2,14,888,221,21,0,2,0.8775080906148868,0.14567055500810966,0.0258763279998675,,cpu x8,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:38+02:00
cc18_v2,pc1,1068,xgboost,0,0,887,222,21,0,2,0.8061191626409019,4.795721545990091,0.005132491991389543,,cpu x8,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:43+02:00
cc18_v2,pc1,1068,xgboost,0,1,887,222,21,0,2,0.794524959742351,0.09039741300512105,0.002900990948546678,,cpu x8,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:43+02:00
cc18_v2,pc1,1068,xgboost,0,2,887,222,21,0,2,0.8522451456310679,0.09031313803279772,0.0028409810038283467,,cpu x8,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:43+02:00
cc18_v2,pc1,1068,xgboost,0,3,887,222,21,0,2,0.7806432038834952,0.09041485900525004,0.002785147982649505,,cpu x8,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:43+02:00
cc18_v2,pc1,1068,xgboost,0,4,888,221,21,0,2,0.8970873786407767,0.09096511104144156,0.002821522008161992,,cpu x8,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,dc1aeb2,gwn03.arnes.si,2026-09-11T20:58:43+02:00
