dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
banknote-authentication,tabpfn,3,1.0,0.3311442589620128,0.2820628710323944,
banknote-authentication,tabpfn,4,1.0,0.3252370239933952,0.2816187560092658,
banknote-authentication,tabicl,0,1.0,0.2100326990475878,0.2253062200034037,
banknote-authentication,tabicl,1,1.0,0.2286343340529129,0.0525835719890892,
banknote-authentication,tabicl,2,1.0,0.3149269439745694,0.1122378529980778,
banknote-authentication,tabicl,3,1.0,0.207067206967622,0.0539169190451502,
banknote-authentication,tabicl,4,1.0,0.2045505089918151,0.0537222870625555,
blood-transfusion-service-center,random_forest,0,0.6645955165692008,0.0829519780818373,0.0128744990797713,
blood-transfusion-service-center,random_forest,1,0.743421052631579,0.0780316611053422,0.0128226010128855,
blood-transfusion-service-center,random_forest,2,0.6944444444444444,0.0776781610911712,0.0128525069449096,
blood-transfusion-service-center,random_forest,3,0.700375939849624,0.0779902089852839,0.0128329069120809,
blood-transfusion-service-center,random_forest,4,0.6274436090225565,0.0796057169791311,0.0128532580565661,
blood-transfusion-service-center,xgboost,0,0.7032163742690059,0.8844778309576213,0.0015679580392315,
blood-transfusion-service-center,xgboost,1,0.7441520467836256,0.0175428590737283,0.0014355200110003,
blood-transfusion-service-center,xgboost,2,0.6691033138401559,0.0172498920001089,0.0014221790479496,
blood-transfusion-service-center,xgboost,3,0.6923558897243107,0.0174379430245608,0.0014249640516936,
blood-transfusion-service-center,xgboost,4,0.6596491228070176,0.0177282880758866,0.0014197559794411,
blood-transfusion-service-center,lightgbm,0,0.7055311890838205,0.0182185519952327,0.0008649859810248,
blood-transfusion-service-center,lightgbm,1,0.7546296296296297,0.0161122279241681,0.0007695230888202,
blood-transfusion-service-center,lightgbm,2,0.6916423001949317,0.0161620019935071,0.0007774040568619,
blood-transfusion-service-center,lightgbm,3,0.7160401002506266,0.016270415042527,0.0007851959671825,
blood-transfusion-service-center,lightgbm,4,0.6525062656641604,0.0161157030379399,0.0007654760265722,
