algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabpfn,0.8781150064663766,0.8781150064663766,1.3333333333333333,2,0,3,0.4322961249854415,0.4457623889902606,6.76970730087487,8.505250341026112
tabicl,0.8784458586245432,0.8784458586245432,1.6666666666666667,1,0,3,0.3437960689770989,0.1006472769659012,5.164353342086542,2.0663482871023002
catboost,0.8724446928738949,0.8724446928738949,3.0,0,0,3,2.363651607010979,0.0026894329930655,33.06011129298713,0.0408666620496652
random_forest,0.8671295058381377,0.8671295058381377,4.333333333333333,0,0,3,0.1083246510243043,0.0172847859794273,1.7118932331213723,0.2564559080637983
lightgbm,0.8538040442965342,0.8538040442965342,5.0,0,0,3,0.0739138969802297,0.0038239500136114,1.0345096968812864,0.054527666885405106
xgboost,0.8525612372271589,0.8525612372271589,5.666666666666667,0,0,3,0.0436396289733238,0.0017674029804766,1.5364745868719178,0.0291559039033009
