algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabicl,0.8185881751023261,0.8185881751023261,1.5,1,0,2,0.30826846850686707,0.08713458300917405,3.0284943950828165,0.835343206999823
tabpfn,0.8179573475092343,0.8179573475092343,1.5,1,0,2,0.4261993039690424,0.35716738051269203,4.1234831278561614,4.360316414036788
catboost,0.8096033992213238,0.8096033992213238,3.0,0,0,2,2.1278309265035205,0.0019959505007136,21.298494345042855,0.020044204022269103
random_forest,0.8024963686732555,0.8024963686732555,4.0,0,0,2,0.1044624485075473,0.0157049825356807,1.0653225271380502,0.15688457008218343
lightgbm,0.7820367874613158,0.7820367874613158,5.5,0,0,2,0.057266634015832055,0.00250791647704315,0.5895824868930499,0.024899655953049202
xgboost,0.7811841868823002,0.7811841868823002,5.5,0,0,2,0.041688996978336904,0.00172015302814535,0.9244547149282877,0.016519370954483203
