algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabpfn,0.8781035901277449,0.8781035901277449,1.3333333333333333,2,0,3,0.4768401319997792,0.5790915280012996,7.346068886001376,13.458482513999115
tabicl,0.8784468603475067,0.8784468603475067,1.6666666666666667,1,0,3,0.4525715720010339,0.4519850990000122,6.529835860996172,8.234320057999867
catboost,0.8724446928738949,0.8724446928738949,3.0,0,0,3,2.206756212999608,0.0024441189998469,26.10582452900053,0.040148790996681
random_forest,0.8671295058381377,0.8671295058381377,4.333333333333333,0,0,3,0.2381865539991849,0.0340363140003319,3.624734148001153,0.5951466959995737
lightgbm,0.8538040442965342,0.8538040442965342,5.0,0,0,3,0.0336239219996059,0.0036314230001153,0.6174937920022777,0.059111621001647394
xgboost,0.8525612372271589,0.8525612372271589,5.666666666666667,0,0,3,0.0294048409996321,0.0020404859988047,0.6341143379995622,0.0292108009962239
