algorithm,mean_roc_auc_complete,mean_roc_auc_own,mean_rank,n_wins,n_failed_datasets,n_datasets,train_time_median_s,inference_time_median_s,train_time_total_s,inference_time_total_s
tabicl,0.8185881751023261,0.8185881751023261,1.5,1,0,2,0.4091022630000225,0.35660926099990314,3.9748329400008515,3.5533479249988886
tabpfn,0.8179371568333833,0.8179371568333833,1.5,1,0,2,0.462118393498713,0.5581624585001919,4.7041941530005715,5.705345109001428
catboost,0.8096033992213238,0.8096033992213238,3.0,0,0,2,1.481473228498544,0.0019595799994931,14.93358379900019,0.0177463659983909
random_forest,0.8024963686732555,0.8024963686732555,4.0,0,0,2,0.2315699440005119,0.0323429010013569,2.3375633470004686,0.3161603520002242
lightgbm,0.7820367874613158,0.7820367874613158,5.5,0,0,2,0.02851692500098575,0.00221609400068695,0.29694109500451243,0.023213070000565002
xgboost,0.7811841868823002,0.7811841868823002,5.5,0,0,2,0.028594179500032547,0.00176246199953305,0.441905290999784,0.0175251449982164
